name,kcal,protein,fat,ch,max,unit
Aceite de Oliva,884,0,100,0,0.3,100g
Monissa Salteado de Verduras,34,1.8,0.2,5.1,3,100g
Alesto Mix Edamame & Soja Tostado Sal,430,46,20,9,1,portion
NaturGreen Semillas de Calabaza,593,30,48.2,5.5,0.5,100g
Hacendado Alubia Blanca Cocida,83,5.8,0.4,10.7,4,100g
Luengo Lentejas Cocidas,87,8.7,1.7,13,4,100g
Campo Largo Garbanzos Cocidos,99,5.6,1.7,13.2,4,100g
Guisantes Finos Congelados,82,6,0.4,11,5,100g
Plátano,89,1.08,0.33,22.84,2,portion
Carrefour Tofu Bio,168,17,10,0.9,0,100g
HSN Guisante texturizado,408,82,6.5,5.7,0.5,100g
ALDI Pan Proteico,281,31,11,11,1.5,100g
Carrefour Salteado Campestre,69,1.3,3.9,5.7,6,100g
Mandarina,37,0.5,0.2,9.3,4,portion
Manzana,50,0.2,0.2,13.8,1,portion
Semillas Chia,458,23,32,2.9,1,100g
Copos de Avena,375,14,7,59,1,100g
Patata Cruda,70,1.7,0,15.7,10,100g
Linwoods Semillas de Lino Molidas,527,23,41,6.5,1,100g
Carrefour Arándanos Congelados,70,0.5,0,14,1.5,100g
Valor Cacao Puro Natural 100%,340,25,11,17,1,100g
Carrefour Crema Cacahuete 100%,612,26,49,14,0.5,100g
Hacendado Espaguetis Integrales,346,12,2,66,2,100g
Eroski Pan de Molde con Centeno y Semillas,363,13.16,4.2,64.4,2,100g
Proteina de soja Aislada 2.0,117,28,0.5,0.4,1,portion
Mercadona Nuez Natural,715,17,69.6,2.2,1,100g
